tittle,Grafica por evento y dia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tecnologia,GSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAIS,CENTRAL,8/21/2024,8/20/2024,8/19/2024,8/18/2024,8/17/2024,8/16/2024,8/15/2024,8/14/2024,8/13/2024,8/12/2024,8/11/2024,8/10/2024,8/9/2024,8/8/2024,8/7/2024,8/6/2024,8/5/2024,8/4/2024,8/3/2024,8/2/2024,8/1/2024,7/31/2024,7/30/2024,7/29/2024,7/28/2024,7/27/2024,7/26/2024,7/25/2024,7/24/2024,7/23/2024
EVENT,CR_EVENT,300,966,965,962,965,963,964,1102,1106,964,963,962,964,966,963,962,964,962,964,963,964,964,963,966,962,963,964,964,963,964
DAY,CR_DAY,341,982,948,968,965,957,1313,1323,985,505,968,957,969,961,965,966,961,965,984,998,945,934,953,970,962,983,943,961,967,970
EVENT,GT_EVENT,584,3554,3613,2930,3423,3788,3346,3568,3515,3531,2787,3348,3632,3625,3668,3611,3551,2758,3394,3721,3542,3743,3531,3643,2719,3321,3600,3527,3590,3631
DAY,GT_DAY,647,3530,3618,2935,3514,4048,5625,5931,0,2043,2777,3349,3633,3623,3700,3579,3553,2757,3395,3719,3578,3717,3533,3638,2723,3327,3622,3540,3545,3653
EVENT,HN_EVENT,1414,6609,6506,6254,7024,7274,7255,7133,7216,7210,6664,7275,7302,7297,7442,7341,7413,6804,7509,7504,7469,7858,7572,7580,7060,7834,7739,7596,7632,7454
DAY,HN_DAY,1794,6529,6431,6313,7270,8258,12047,7239,3895,4246,6721,7231,7295,7363,7375,7345,7468,6814,7452,7515,7459,7851,7578,7577,7063,7875,7702,7599,7616,7514
EVENT,NI_EVENT,241,1708,2204,2249,2366,2257,1909,1794,1754,1713,1465,1739,1754,1686,1750,1490,1617,1294,1573,1600,2040,2522,2448,2421,1962,2072,1907,1527,1549,1551
DAY,NI_DAY,264,1707,2219,2261,2361,2497,2740,3140,0,1020,1468,1742,1749,1689,1745,1489,1618,1297,1570,1604,2054,2530,2439,2419,1966,2063,1900,1523,1550,1551
EVENT,SV_EVENT,314,3028,3124,2193,2590,3182,2995,2978,2962,3003,1972,2483,2954,2899,2925,1955,2240,1884,2403,2946,2785,3001,2887,3249,1907,2451,2904,2793,2805,2855
DAY,SV_DAY,411,2957,3126,2206,2623,3585,2576,7109,0,1788,1978,2482,2950,2897,2931,1963,2236,1876,2405,2960,2771,3016,2869,3249,1913,2462,2886,2797,2802,2859
